time,site,site_type,latency_ms,jitter_ms,packet_list
2025-11-29T14:52:32-08:00,google.com,SearchEngine,2.228,0.167,2.476;2.248;2.012;2.174
2025-11-29T14:52:35-08:00,duckduckgo.com,SearchEngine,6.692,0.142,6.886;6.495;6.647;6.742
2025-11-29T14:52:38-08:00,chatgpt.com,AI,3.472,0.134,3.702;3.378;3.417;3.391
2025-11-29T14:52:41-08:00,claude.ai,AI,3.600,0.118,3.804;3.543;3.529;3.525
2025-11-29T14:52:44-08:00,cloudflare.com,CDN,3.288,0.278,3.730;3.008;3.315;3.100
2025-11-29T14:52:47-08:00,akamai.com,CDN,2.706,0.186,2.942;2.497;2.830;2.554
2025-11-29T14:52:50-08:00,facebook.com,Social,2.714,0.150,2.966;2.592;2.606;2.691
2025-11-29T14:52:53-08:00,x.com,Social,3.619,0.175,3.902;3.428;3.606;3.539
2025-11-29T14:52:56-08:00,icloud.com,Cloud,2.211,0.284,2.684;2.132;1.928;2.100
2025-11-29T14:52:59-08:00,drive.google.com,Cloud,2.352,0.159,2.619;2.197;2.290;2.303
2025-11-29T14:53:02-08:00,youtube.com,VideoStreaming,2.234,0.089,2.256;2.325;2.087;2.269
2025-11-29T14:53:05-08:00,twitch.tv,VideoStreaming,2.597,0.281,3.072;2.540;2.393;2.383
2025-11-29T14:54:08-08:00,google.com,SearchEngine,2.349,0.234,2.457;2.653;2.021;2.267
2025-11-29T14:54:11-08:00,duckduckgo.com,SearchEngine,6.788,0.337,7.279;6.547;6.415;6.910
2025-11-29T14:54:14-08:00,chatgpt.com,AI,3.259,0.124,3.396;3.250;3.327;3.065
2025-11-29T14:54:17-08:00,claude.ai,AI,5.933,4.316,13.406;3.334;3.392;3.599
2025-11-29T14:54:20-08:00,cloudflare.com,CDN,3.423,0.387,4.076;3.204;3.330;3.083
2025-11-29T14:54:23-08:00,akamai.com,CDN,2.665,0.073,2.706;2.762;2.618;2.575
2025-11-29T14:54:26-08:00,facebook.com,Social,2.909,0.073,2.945;2.795;2.904;2.992
2025-11-29T14:54:29-08:00,x.com,Social,3.769,0.359,4.286;3.921;3.474;3.396
2025-11-29T14:54:32-08:00,icloud.com,Cloud,2.203,0.244,2.615;2.052;1.994;2.152
2025-11-29T14:54:35-08:00,drive.google.com,Cloud,2.429,0.108,2.598;2.302;2.381;2.433
2025-11-29T14:54:39-08:00,youtube.com,VideoStreaming,2.555,0.625,3.602;2.327;1.948;2.342
2025-11-29T14:54:42-08:00,twitch.tv,VideoStreaming,2.577,0.351,3.148;2.327;2.252;2.583
2025-11-29T14:55:45-08:00,google.com,SearchEngine,2.278,0.238,2.667;2.219;2.208;2.020
2025-11-29T14:55:48-08:00,duckduckgo.com,SearchEngine,6.800,0.260,7.230;6.722;6.529;6.720
2025-11-29T14:55:51-08:00,chatgpt.com,AI,3.436,0.414,4.124;3.177;3.382;3.060
2025-11-29T14:55:54-08:00,claude.ai,AI,3.591,0.080,3.711;3.618;3.523;3.513
2025-11-29T14:55:57-08:00,cloudflare.com,CDN,3.442,0.393,4.069;3.471;3.051;3.177
2025-11-29T14:56:00-08:00,akamai.com,CDN,2.668,0.191,2.966;2.661;2.605;2.438
2025-11-29T14:56:03-08:00,facebook.com,Social,2.899,0.212,3.222;2.895;2.630;2.849
2025-11-29T14:56:06-08:00,x.com,Social,3.909,0.276,4.261;4.055;3.527;3.793
2025-11-29T14:56:09-08:00,icloud.com,Cloud,2.340,0.316,2.843;2.313;1.976;2.227
2025-11-29T14:56:12-08:00,drive.google.com,Cloud,2.611,0.217,2.956;2.616;2.373;2.501
2025-11-29T14:56:15-08:00,youtube.com,VideoStreaming,2.361,0.374,2.991;2.020;2.179;2.252
2025-11-29T14:56:18-08:00,twitch.tv,VideoStreaming,2.655,0.215,2.859;2.334;2.586;2.842
2025-11-29T14:57:21-08:00,google.com,SearchEngine,2.372,0.257,2.788;2.175;2.382;2.145
2025-11-29T14:57:24-08:00,duckduckgo.com,SearchEngine,6.661,0.156,6.875;6.477;6.736;6.554
2025-11-29T14:57:27-08:00,chatgpt.com,AI,3.370,0.211,3.674;3.459;3.186;3.160
2025-11-29T14:57:30-08:00,claude.ai,AI,3.471,0.317,3.959;3.272;3.532;3.123
2025-11-29T14:57:33-08:00,cloudflare.com,CDN,3.386,0.235,3.778;3.262;3.345;3.160
2025-11-29T14:57:36-08:00,akamai.com,CDN,2.645,0.156,2.823;2.413;2.746;2.598
2025-11-29T14:57:40-08:00,facebook.com,Social,2.903,0.174,3.187;2.715;2.833;2.876
2025-11-29T14:57:43-08:00,x.com,Social,3.790,0.307,4.301;3.481;3.674;3.706
2025-11-29T14:57:46-08:00,icloud.com,Cloud,2.369,0.249,2.796;2.223;2.184;2.273
2025-11-29T14:57:49-08:00,drive.google.com,Cloud,2.603,0.218,2.979;2.442;2.487;2.502
2025-11-29T14:57:52-08:00,youtube.com,VideoStreaming,2.503,0.418,3.223;2.289;2.188;2.311
2025-11-29T14:57:55-08:00,twitch.tv,VideoStreaming,2.610,0.428,3.339;2.473;2.377;2.250
2025-11-29T14:58:58-08:00,google.com,SearchEngine,2.307,0.061,2.363;2.284;2.218;2.363
2025-11-29T14:59:01-08:00,duckduckgo.com,SearchEngine,6.816,0.327,7.368;6.574;6.571;6.753
2025-11-29T14:59:04-08:00,chatgpt.com,AI,3.409,0.170,3.688;3.397;3.252;3.297
2025-11-29T14:59:07-08:00,claude.ai,AI,3.571,0.300,4.060;3.570;3.364;3.291
2025-11-29T14:59:10-08:00,cloudflare.com,CDN,3.696,0.194,3.976;3.620;3.746;3.442
2025-11-29T14:59:13-08:00,akamai.com,CDN,2.688,0.087,2.757;2.753;2.542;2.698
2025-11-29T14:59:16-08:00,facebook.com,Social,2.953,0.116,3.140;2.952;2.878;2.840
2025-11-29T14:59:19-08:00,x.com,Social,3.754,0.119,3.941;3.609;3.743;3.723
2025-11-29T14:59:22-08:00,icloud.com,Cloud,2.418,0.321,2.948;2.094;2.368;2.264
2025-11-29T14:59:25-08:00,drive.google.com,Cloud,2.603,0.291,3.104;2.473;2.447;2.388
2025-11-29T14:59:28-08:00,youtube.com,VideoStreaming,6.523,7.478,19.474;2.041;2.308;2.269
2025-11-29T14:59:31-08:00,twitch.tv,VideoStreaming,2.601,0.232,2.997;2.516;2.405;2.487
2025-11-29T15:00:35-08:00,google.com,SearchEngine,2.236,0.264,2.621;1.875;2.226;2.223
2025-11-29T15:00:38-08:00,duckduckgo.com,SearchEngine,6.800,0.326,7.334;6.694;6.720;6.452
2025-11-29T15:00:41-08:00,chatgpt.com,AI,3.440,0.316,3.887;3.362;3.503;3.006
2025-11-29T15:00:44-08:00,claude.ai,AI,3.518,0.170,3.723;3.588;3.504;3.256
2025-11-29T15:00:47-08:00,cloudflare.com,CDN,3.720,0.095,3.825;3.785;3.580;3.688
2025-11-29T15:00:50-08:00,akamai.com,CDN,2.653,0.125,2.715;2.444;2.771;2.683
2025-11-29T15:00:53-08:00,facebook.com,Social,2.909,0.204,3.231;2.672;2.823;2.910
2025-11-29T15:00:56-08:00,x.com,Social,3.726,0.175,3.957;3.769;3.710;3.467
2025-11-29T15:00:59-08:00,icloud.com,Cloud,2.141,0.201,2.401;1.983;1.912;2.267
2025-11-29T15:01:02-08:00,drive.google.com,Cloud,2.484,0.364,3.098;2.213;2.212;2.414
2025-11-29T15:01:05-08:00,youtube.com,VideoStreaming,2.326,0.173,2.609;2.268;2.141;2.285
2025-11-29T15:01:08-08:00,twitch.tv,VideoStreaming,2.663,0.323,3.154;2.654;2.597;2.248
2025-11-29T15:02:11-08:00,google.com,SearchEngine,2.378,0.287,2.860;2.100;2.266;2.286
2025-11-29T15:02:14-08:00,duckduckgo.com,SearchEngine,6.721,0.213,7.058;6.481;6.725;6.619
2025-11-29T15:02:17-08:00,chatgpt.com,AI,3.508,0.271,3.974;3.364;3.397;3.299
2025-11-29T15:02:20-08:00,claude.ai,AI,3.757,0.298,4.227;3.803;3.507;3.491
2025-11-29T15:02:23-08:00,cloudflare.com,CDN,3.687,0.294,4.118;3.697;3.645;3.289
2025-11-29T15:02:26-08:00,akamai.com,CDN,2.612,0.117,2.747;2.452;2.551;2.698
2025-11-29T15:02:29-08:00,facebook.com,Social,2.792,0.350,3.397;2.587;2.551;2.634
2025-11-29T15:02:32-08:00,x.com,Social,3.580,0.203,3.893;3.614;3.355;3.457
2025-11-29T15:02:35-08:00,icloud.com,Cloud,2.100,0.194,2.413;2.008;2.090;1.889
2025-11-29T15:02:38-08:00,drive.google.com,Cloud,3.944,2.571,2.649;2.554;8.387;2.185
2025-11-29T15:02:42-08:00,youtube.com,VideoStreaming,2.267,0.241,2.540;2.461;1.956;2.111
2025-11-29T15:02:45-08:00,twitch.tv,VideoStreaming,2.575,0.156,2.808;2.405;2.623;2.465
